Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
participant_id,cam_care_pd_questionnaire,,text,,,,,,,,,,,,,,
consent,cam_care_pd_questionnaire,,yesno,"""I have read the particpant information sheet and I do not have any questions about participation. I voluntarily consent to participate in this study. I understand that future quesions I may have about the research or about my rights as a participant will be answered by study staff at 425-602-3306 or neuroresearch@bastyr.edu.""
Do you consent to participate?
By consenting online, you no longer need to sign and mail in a paper copy of the consent form.  ",,,,,,,,,,,,,
savetillater,cam_care_pd_questionnaire,,descriptive,"TO SAVE YOUR INFORMATION & RETURN AT A LATER TIME:
Scroll to the end of the survey and click on the ""Save Record"" button.  Unsaved data will be lost! ",,,,,,,,,,,,,
whosays,cam_care_pd_questionnaire,,radio,Who is completing this survey? ,"1, 1. Person with Parkinsonism/ Parkinson's disease  (PWP) | 2, 2. Friend/ caregiver, in the presence of PWP (for instance, if motor symptoms make keyboard use difficult, or if PWP is not comfortable on computer.) | 3, 3. Other",,,,,,,,,,,,
otherhelp,cam_care_pd_questionnaire,,text,Please describe who is completing this form and your relationship to the PWP:,,,,,,,[whosays] = '3',,,,,,
record_id,cam_care_pd_questionnaire,,text,"Create a PATIENT RECORD ID:
In the box to the RIGHT, please fill in as follows (example: ABCD84):
1st letter of your first name:  A
1st letter of your surname or last name:  B
1st letter of your mother's maiden name:  C
1st letter of your city of birth:  D
Last two digits of your birth year: 84",,example: ABCD84,,,,,,y,,,,,
firstname,cam_care_pd_questionnaire,,text,First Name,,,,,,y,,y,,,,,
lastname,cam_care_pd_questionnaire,,text,Last Name,,,,,,y,,y,,,,,
country,cam_care_pd_questionnaire,,dropdown,Country,"1, United States | 2, Afghanistan | 3, Albania | 4, Algeria | 5, Andorra | 6, Angola | 7, Antigua and Barbuda | 8, Argentina | 9, Armenia | 10, Aruba | 11, Australia | 12, Austria | 13, Azerbaijan | 14, Bahamas | 15, Bahrain | 16, Bangladesh | 17, Barbados | 18, Belarus | 19, Belgium | 20, Belize | 21, Benin | 22, Bhutan | 23, Bolivia | 24, Bosnia and Herzegovina | 25, Botswana | 26, Brazil | 27, Brunei | 28, Bulgaria | 29, Burkina Faso | 30, Burundi | 31, Cabo Verde | 32, Cambodia | 33, Cameroon | 34, Canada | 35, Central African Republic | 36, Chad | 37, Chile | 38, China | 39, Colombia | 40, Comoros | 41, Congo -  Democratic Republic of the | 42, Congo -  Republic of the | 43, Costa Rica | 44, Cote d'Ivoire | 45, Croatia | 46, Cuba | 47, Curacao | 48, Cyprus | 49, Czechia | 50, Denmark | 51, Djibouti | 52, Dominica | 53, Dominican Republic | 54, East Timor | 55, Ecuador | 56, Egypt | 57, El Salvador | 58, Equatorial Guinea | 59, Eritrea | 60, Estonia | 61, Ethiopia | 62, Fiji | 63, Finland | 64, France | 65, Gabon | 66, Gambia | 67, Georgia | 68, Germany | 69, Ghana | 70, Greece | 71, Grenada | 72, Guatemala | 73, Guinea | 74, Guinea-Bissau | 75, Guyana | 76, Haiti | 77, Honduras | 78, Hong Kong | 79, Hungary | 80, Iceland | 81, India | 82, Indonesia | 83, Iran | 84, Iraq | 85, Ireland | 86, Israel | 87, Italy | 88, Jamaica | 89, Japan | 90, Jordan | 91, Kazakhstan | 92, Kenya | 93, Kiribati | 94, Kosovo | 95, Kuwait | 96, Kyrgyzstan | 97, Laos | 98, Latvia | 99, Lebanon | 100, Lesotho | 101, Liberia | 102, Libya | 103, Liechtenstein | 104, Lithuania | 105, Luxembourg | 106, Macau | 107, Macedonia | 108, Madagascar | 109, Malawi | 110, Malaysia | 111, Maldives | 112, Mali | 113, Malta | 114, Marshall Islands | 115, Mauritania | 116, Mauritius | 117, Mexico | 118, Micronesia | 119, Moldova | 120, Monaco | 121, Mongolia | 122, Montenegro | 123, Morocco | 124, Mozambique | 125, Myanmar | 126, Namibia | 127, Nauru | 128, Nepal | 129, Netherlands | 130, New Zealand | 131, Nicaragua | 132, Niger | 133, Nigeria | 134, North Korea | 135, Norway | 136, Oman | 137, Pakistan | 138, Palau | 139, Palestinian Territories | 140, Panama | 141, Papua New Guinea | 142, Paraguay | 143, Peru | 144, Philippines | 145, Poland | 146, Portugal | 147, Qatar | 148, Romania | 149, Russia | 150, Rwanda | 151, Saint Kitts and Nevis | 152, Saint Lucia | 153, Saint Vincent and the Grenadines | 154, Samoa | 155, San Marino | 156, Sao Tome and Principe | 157, Saudi Arabia | 158, Senegal | 159, Serbia | 160, Seychelles | 161, Sierra Leone | 162, Singapore | 163, Sint Maarten | 164, Slovakia | 165, Slovenia | 166, Solomon Islands | 167, Somalia | 168, South Africa | 169, South Korea | 170, South Sudan | 171, Spain | 172, Sri Lanka | 173, Sudan | 174, Suriname | 175, Swaziland | 176, Sweden | 177, Switzerland | 178, Syria | 179, Taiwan | 180, Tajikistan | 181, Tanzania | 182, Thailand | 183, Togo | 184, Tonga | 185, Trinidad and Tobago | 186, Tunisia | 187, Turkey | 188, Turkmenistan | 189, Tuvalu | 190, Uganda | 191, Ukraine | 192, United Arab Emirates | 193, United Kingdom | 194, Uruguay | 195, Uzbekistan | 196, Vanuatu | 197, Vatican | 198, Venezuela | 199, Vietnam | 200, Yemen | 201, Zambia | 202, Zimbabwe",,,,,,,y,,,,,
uk_country,cam_care_pd_questionnaire,,dropdown,Country within the United Kingdom,"1, England | 2, Northern Ireland | 3, Scotland | 4, Wales",,,,,,[country] = '193',y,,,,,
street,cam_care_pd_questionnaire,,text,Street address,,,,,,y,,y,,,,,
city,cam_care_pd_questionnaire,,text,City,,,,,,,,y,,,,,
